id,title given by manchine,Y/N,original title
10.1.1.94.4685.txt,Notation as a Tool of,N,Notation as a tool of thought
10.1.1.175.5019.txt,Internet Software Consortium,N,A DNS RR for specifying the location of services (DNS SRV)
10.1.1.214.6702.txt,Semantic Domains and Supersense Tagging for Domain-Speci c Ontology Learning,N,Semantic domains?and?supersense tagging?for domain-specific?ontology learning
10.1.1.159.1457.txt,SOME NEW SCALES OF CHARACTERIZATION OF HARDY’S INEQUALITY,Y,
10.1.1.104.363.txt,Contents,N,CM: The SML/NJ compilation and library manager (for SML/NJ version 110.40 and later) user manual
10.1.1.27.5319.txt,"Definability, Automorphisms, And Dynamic Properties Of Computably Enumerable Sets",Y,
10.1.1.184.1582.txt,"KEY WORDS: 3D Monocular Restitution, Laser Scanner, Low Cost Digital Camera and Vector Mapping.",N,3D monocular restitution applied to small format digital airphoto and laser scanner data
10.1.1.14.4296.txt,Implementing a Graphical Multi-User Interface Toolkit,Y,
10.1.1.170.1341.txt,Editorial Statement,N,Special Issue: The Future of Biofeedback Instrumentation
10.1.1.37.6433.txt,Brown Dwarfs and Planets Around Solar--Type Stars: Searches by Precise Velocities,Y,
10.1.1.185.384.txt,Test Activities Involving Mid-Frequency Active Sonar (MFAS)/High Frequency Active,N,ANNUAL MISSION ACTIVITIES REPORT 2010 FOR THE NAVAL SURFACE WARFARE CENTER PANAMA CITY DIVISION(NSWC PCD) STUDY AREA
10.1.1.99.6250.txt,Process Modelling Notations for eGovernment: An Assessment of Modelling Notations for Identity Management Abstract,N,Process modelling notations for eGovernment: an assessment of modelling notations for identity management
10.1.1.135.2068.txt,1 Introduction On quadratic non-residues,N,On quadratic non-residues
10.1.1.197.3566.txt,"Rwanda: The Search for Post-Conflict Socio-Economic Change, 1995-2001 Africa Region Working Paper Series No",N,"Rwanda: the search for post-conflict socio-economic change, 1995-2001"
10.1.1.39.4500.txt,Deliberate normative agents: principles and architecture,Y,
10.1.1.108.8942.txt,Designing for Collective Remembering,Y,
10.1.1.79.3759.txt,1 2 3,N,"Is motion extrapolation employed in multiple object tracking? Tracking as a low-level, non-predictive function"
10.1.1.146.1271.txt,1 Gradient-based optimization of mother wavelets,N,Gradient-based optimization of mother wavelets
10.1.1.89.6520.txt,A High-level Petri Net Ontology Compatible with PNML,Y,
10.1.1.39.6779.txt,SBDM as a Model for Codesign Data,Y,
10.1.1.220.817.txt,,N,Numerical modeling and high performance computing for evolution problems in complex domains and heterogeneous media
10.1.1.90.3707.txt,"AN INEXPENSIVE TACTILE INFRASTRUCTURE FOR ROBOTICS, GRAPHICS, AND IMAGING",Y,
10.1.1.38.6713.txt,Lex-Optimal Multiclass Scheduling with Deadlines,Y,
10.1.1.164.7771.txt,I S,N,CONSUMERS NETWORKS AND SEARCH EQUILIBRIA
10.1.1.106.6687.txt,Minimum Enclosing and Maximum Excluding Machine for Pattern Description and Discrimination,Y,
10.1.1.144.41.txt,DERIVING PROTEIN STRUCTURE TOPOLOGY FROM THE HELIX SKELETON IN LOW RESOLUTION DENSITY MAP USING ROSETTA,Y,
10.1.1.17.6682.txt,Machine Tongues 11: Object-Oriented Software Design,Y,
10.1.1.160.5078.txt,A Test Case Generation Algorithm for Real-Time Systems,Y,
10.1.1.15.8507.txt,Training a Prosody-Based Dialog Act Tagger from Unlabeled Data,Y,
10.1.1.124.3419.txt,FLANNEL: Adding computation to electronic mail during transmission,Y,
10.1.1.175.678.txt,Critique from an Ecological Perspective. Link 95:,N,Reference
10.1.1.208.2713.txt,Revising Horn Theories,Y,
10.1.1.221.8978.txt,Earth Observation for a Changing World- Temporal Issues,N,SPATIO-TEMPORAL DYNAMICS OF SURFACE WETNESS CONDITIONS USING REMOTE SENSING DATA
10.1.1.35.7055.txt,"Proc. of the 6th Nordic Workshop on Programming Theory, 17-19 October 1994, Aarhus, Denmark",N,Proceedings of the 6th Nordic Workshop on Programming Theory
10.1.1.122.9817.txt,Accepted by SIAM J. Numer. Anal. A NEW DUAL-PETROV-GALERKIN METHOD FOR THIRD AND HIGHER ODD-ORDER DIFFERENTIAL EQUATIONS: APPLICATION TO THE KDV EQUATION,N,A new dual-Petrov-Galerkin method for third and higher odd-order differential equations: application to the KDV equation
10.1.1.61.323.txt,Schema Matching using Duplicates,Y,
10.1.1.170.355.txt,Supplementary Material Common peptides shed light on evolution of Olfactory,N,Supplementary Material Common peptides shed light on evolution of Olfactory Receptors
10.1.1.129.6461.txt,An experimental study on diversity for bagging and boosting with linear classifiers,Y,
10.1.1.59.4596.txt,Moneytree: Ambient information visualization of financial data,Y,文章里边全是乱码
10.1.1.207.8715.txt,Multi-Channel ECG and Noise Modeling: Application to Maternal and Fetal ECG Signals,Y,
10.1.1.189.1707.txt,"Spin or, Actually: Spin and Quantum Statistics ?",N,"Spin or, actually: Spin and Quantum Statistics"
10.1.1.144.1123.txt,"National Aeronautics and Space Administration The Earth Observer. January- February 2009. Volume 21, Issue 1. Editor’s Corner",N,The Earth Observer
10.1.1.118.9185.txt,Example,N,OpenMP
10.1.1.218.3976.txt,Application of Bayesian Hierarchical Modelling to a Delayed Action Oscillator Model for the El Ni?o-Southern Oscillation,N,Application of Bayesian Hierarchical Modelling to a Delayed Action Oscillator Model for the El Ni?o-Southern Oscillatio
10.1.1.180.5542.txt,Contents,N,Isabelle/HOL — Higher-Order Logic
10.1.1.84.6888.txt,University of?Heidelberg,N,Enhancing hypernym extraction for named entities using machine learning based classification
10.1.1.122.9808.txt,Transient Identification at Nuclear Power Plants Using Support Vector Machines,Y,
10.1.1.134.560.txt,Realizing Affect in Speech Classification in Real-Time,Y,
10.1.1.152.7263.txt,3. HEALTH EFFECTS,Y,
10.1.1.135.7932.txt,Coding and Information-Theoretic Aspects of Multiple Antenna Communication Systems,Y,
10.1.1.117.7578.txt,Multi-modal Discourse Investigation with SIDGrid,Y,
10.1.1.222.7773.txt,Status of Memo,N,IANA Considerations for LDAP
10.1.1.163.3266.txt,"242 JLEO, V23 N1 Network Effects in the Governance of Strategic Alliances",N,Network effects in the governance of strategic alliances
10.1.1.17.399.txt,Quicknet on multispert: fast parallel neural network training,Y,
10.1.1.29.1582.txt,A Note on Viable Proposals,Y,
10.1.1.100.6508.txt,Acquisition TECHNOLOGY AND ACQUISITION SYSTEMS,N,TECHNOLOGY AND ACQUISITION SYSTEMS SECURITY PROGRAM PROTECTION
10.1.1.161.8860.txt,? Physics of strong fields:,N,Zero-degree Zero degree Auger Projectile Spectrometry in the New Experimental Storage Ring
10.1.1.76.5981.txt,A Different Look at Secure Distributed Computation,Y,
10.1.1.79.964.txt,Hearing about a Job: A Model of Differential Information Flow and Job Matching,Y,
10.1.1.190.5926.txt,"Identifiers, Privacy and Trust in the Internet of Services",Y,
10.1.1.167.2480.txt,Command Modes,N,IP Services Commands
10.1.1.119.5850.txt,3. Limiting References,N,JPO Comments on IPC Classification Definition Proposal on D011
10.1.1.193.3160.txt,Optimal Policy for a Deteriorating Inventory Model with Finite Replenishment Rate and with Price Dependant Demand Rate and Cycle,N,Optimal Policy for a Deteriorating Inventory Model with Finite Replenishment Rate and with Price Dependant Demand Rate and Cycle Length Dependant Price
10.1.1.222.9738.txt,radionuclides,N,Ion competion effects on the absorption of radionuclide by komatsuna
10.1.1.44.913.txt,Bagging in the Presence of Outliers,Y,
10.1.1.76.6999.txt,System 6. Performing Organization Code,N,Reliability of the Gas Supply in the Air Force Emergency Passenger Oxygen System
10.1.1.20.3672.txt,John Tukey at Bell Labs.,N,John Tukey at Bell Labs
10.1.1.104.5448.txt,"Lefschetz extensions, tight closure and big CohenMacaulay algebras",Y,
10.1.1.109.7582.txt,REFERENCES,N,"A forcing extension of a (ω2, 1) simplified morasses with no (ω2, 1) simplified morasses with linear limits using an unfoldable cardinal"
10.1.1.71.215.txt,,N,Variable resolution particle filter
10.1.1.9.2362.txt,On the Validity of Throughput as a Characteristic of . . .,N,On the validity of throughput as a characteristic of computer input
10.1.1.216.8620.txt,Wbest: a bandwidth estimation tool for ieee 802.11 wireless networks,Y,
10.1.1.140.2968.txt,"xBFT: Byzantine Fault Tolerance with High Performance, Low Cost, and Aggressive Fault Isolation",Y,
10.1.1.214.4177.txt,Juncus uncialis Greene inch-high rush Juncaceae (Rush Family) Juncus uncialis inch-high rush Status: State Sensitive,N,Juncus uncialis Greene inch-high rush Juncaceae (Rush Family)
10.1.1.51.5169.txt,Jet Curvature Due to Nonaxisymmetric Radiative Drag in Active Galactic Nuclei,Y,
10.1.1.150.2835.txt,The Keel Meta-,N,The Keel Meta-framework: A Hands On Tutorial
10.1.1.37.352.txt,Stability Of Runge-Kutta Methods For Stiff Ordinary Differential Equations,Y,
10.1.1.85.6974.txt,2.1 CREATING A SOCIAL,N,AMSIDO-2 Social simulations
10.1.1.207.4950.txt,Status of This Memo Feed Paging and Archiving,N,Feed Paging and Archiving
10.1.1.174.1157.txt,Development and Evaluation of an Interactive WebQuest Environment: “Web Macerasi”,Y,
10.1.1.156.3954.txt,Consumer perspectives,N,Minimising collateral damage: family peer support and other strategies
10.1.1.56.5318.txt,Toward a Plan Steering Agent: Experiments with Schedule Maintenance,Y,
10.1.1.114.4482.txt,Table of contents Table of contents...................................................................................2,N,Win32API Interceptor: A Microsoft Windows API function calls Interception application
10.1.1.95.4658.txt,Distributed CDMA-based MAC Protocol for Underwater Sensor Networks,Y,
10.1.1.107.4126.txt,MINIMUM MEAN SQUARE ESTIMATION AND NEURAL NETWORKS,Y,
10.1.1.60.7830.txt,URI's and Intertextuality: Incumbant Philosophical Commitments in the Development of the Semantic Web,Y,
10.1.1.18.3802.txt,On the departure process of a leaky bucket system withLong-Range Dependent Input  Traffic,Y,On the departure process of a leaky bucket system with Long-Range Dependent Input  Traffic
10.1.1.91.5302.txt,Empirical Evaluation of Software Quality Attributes,Y,
10.1.1.195.9426.txt,A Geospatial Interoperability Reference Model (G.I.R.M.) Prepared by the FGDC Geospatial Applications and Interoperability (GAI) Working Group,N,A Geospatial Interoperability Reference Model (G.I.R.M.)
10.1.1.212.4492.txt,2009 10th International Conference on Document Analysis and Recognition Keyword Spotting in Document Images through Word Shape Coding,N,Keyword spotting in document images through word shape coding
10.1.1.133.6294.txt,Summary,N,Hybrid Sysyems for Face Recognition
10.1.1.116.2093.txt,University Life by Successful Black Undergraduate Students at a Predominately,N,""" A fly in the buttermilk"": Descriptions of university life by successful Black undergraduate students at a predominately White southeastern university"
10.1.1.142.5905.txt,Intelligent and Autonomous Systems Machine Learning Pattern Recognition and Data Mining,N,CURRICULUM VITAE
10.1.1.173.4354.txt,BRIDGING THE DISTANCE Implementing Videoconferencing in Wisconsin,Y,
10.1.1.127.521.txt,Computational identification of the Spo0A-phosphate regulon that is essential for the cellular differentiation and development in Gram-positive spore-forming bacteria,Y,
10.1.1.198.9199.txt,Revised,N,"NAFTA, the Peso Crisis, and the Contradictions of the Mexican Economic Growth Strategy"
10.1.1.2.1574.txt,Controlling synchro-drive robots with the dynamic window approach to collision avoidance,Y,
10.1.1.25.4856.txt,Repeater Insertion in deep sub-micron CMOS: Ramp-based Analytical Model and Placement Sensitivity Analysis,Y,
10.1.1.203.4303.txt,Inflation Targeting in the Context of IMF–Supported Adjustment Programs,Y,
10.1.1.132.4794.txt,Hybrid Hall Effect Devices – A Novel Building Block For Reconfigurable Logic,Y,
10.1.1.58.6199.txt,"45 Pathways of Development in the Hillsides of Honduras: Causes and Implications for Agricultural Production, Poverty, and Sustainable Resource Use, by",N,"Pathways of development in the hillsides of Honduras: Causes and implications for agricultural production, poverty, and sustainable resource use"
10.1.1.136.7464.txt,Transition Graph Methodology for Estimating Power Dissipation and its Application to Latch Design,Y,
10.1.1.93.8240.txt,Abstract,N,Transfer learning by constructing informative priors
10.1.1.29.5517.txt,Parallel Genetic Algorithms with Distributed Panmictic Populations,Y,
10.1.1.16.9848.txt,Stepwise Program Derivation,Y,
10.1.1.140.5761.txt,Dynamic Limited Dependent Variable Modeling and U.S. Monetary Policy,Y,
10.1.1.59.2401.txt,Dynamic k-Times Anonymous Authentication,Y,
10.1.1.195.992.txt,,N,exp in search of innovation
10.1.1.72.6210.txt,,N,Effective Web Crawling(citeseer原文没有标题，但是是这篇文章)
10.1.1.202.9218.txt,at the Federal Reserve Bank of,N,Depositor-preference laws and the cost of debt capital
10.1.1.190.2202.txt,HILBERT SCHEME OF RATIONAL CUBIC CURVES VIA STABLE MAPS,Y,
10.1.1.173.4834.txt,A dynamic model of settlement,Y,
10.1.1.219.3804.txt,Contents,N,Cryptography & Security Issues in JAVA CARD 2.0 Final Project Report
10.1.1.105.9131.txt,Profiling Network Applications with Fuzzy C-Means Clustering and Self-Organising Map,N,Rapid and selective surveillance of Arabidopsis thaliana genome annotations with Centrifuge
10.1.1.56.1480.txt,Four short questions on Birkhoff polytope,Y,
10.1.1.198.5189.txt,DYNAMIC GEOMETRY SOFTWARE NOT ONLY FOR SIMPLE DRAGGING,Y,
10.1.1.196.1666.txt,"Wide-band statistical model for the LMS channel F.P.Fontan 1, M.A.V.Castro 1",N,Wide-band statistical model for the LMS channel
10.1.1.152.3803.txt,BMC Evolutionary Biology BioMed Central,N,"Testing for adaptive evolution of the female reproductive protein ZPC in mammals, birds and fishes reveals problems with the M7-M8 likelihood ratio test"
10.1.1.196.2009.txt,PATINKIN ON INVOLUNTARY UNEMPLOYMENT AND THE AGGREGATE SUPPLY CURVE,Y,
10.1.1.112.172.txt,,N,Robustifying eye interaction
10.1.1.60.1999.txt,ASM Support for Validation of Specifications:,N,ASM Support for Validation of Specifications: Lessons Learned from an eGovernment Project
10.1.1.112.5337.txt,Collective Traffic Control on Motorways,Y,
10.1.1.129.8192.txt,Issues and Options.,N,Financing Small and Medium Enterprises: Challenges and Options
10.1.1.86.6312.txt,Advanced Virtual Medicine: Techniques and Applications for Virtual Endoscopy and Soft-Tissue Simulation,Y,
10.1.1.187.6996.txt,Air Accidents SECTION 40 N/A AAIB Investigation,N,ROYAL AIR FORCE PROCEEDINGS OF A BOARD OF INQUIRY INTO AN AIRCRAFT ACCIDENT
10.1.1.173.3013.txt,A. Focus of Aerospace ATG............................................................................................................... 1 B. Applicability of Aerospace ATG...................................................................................,N,Aerospace Industry Research Credit Audit Technique Guide
10.1.1.224.4465.txt,FORUM ON “METHODOLOGICAL CRITIQUE ON CATEGORY SPECIFICITY” COMMENTARY ON KEITH R. LAWS: “ILLUSIONS OF NORMALITY”,N,COMMENTARY ON KEITH R. LAWS: “ILLUSIONS OF NORMALITY”
10.1.1.218.3779.txt,–  ( log) amortized bounds using buffers and lazyness,N,I/O-Algorithms
10.1.1.12.2533.txt,Using Redundancy to Improve Robustness of Distributed Mechanism Implementations,Y,
10.1.1.89.923.txt,NONLINEAR CONTROL OF POWER NETWORK MODELS USING FEEDBACK LINEARIZATION,Y,
10.1.1.220.5947.txt,SUMMARY,N,Improving the memory management performance of RTSJ
10.1.1.168.1625.txt,License GPL-2,Y,Package ‘grasp’
10.1.1.136.7363.txt,The Development and Implementation of Forest Fire Management Decision Support,N,"The Development and Implementation of Forest Fire Management Decision Support in Ontario, Canda"
10.1.1.57.4314.txt,Conceptual Indexing for Video Retrieval,Y,
10.1.1.141.3764.txt,U-Net: A User-Level Network Interface for Parallel and Distributed Computing,Y,
10.1.1.170.1482.txt,DISTRIBUTED DATA INTEGRATION AND MINING USING ADMIRE TECHNOLOGY ?,N,Distributed data integration and mining using ADMIRE technology
10.1.1.97.293.txt,Business Case In The Context of SACIS,Y,Business Case In The Context of SACIS - A case study at Volvo IT
10.1.1.74.6286.txt,,N,Optimal wire-sizing formula under the Elmore delay model with bounded wire sizes
10.1.1.151.5738.txt,Technical Instrument Report WFPC2 2008-003 An Update on Creating a WFPC2 Yearly,N,An Update on Creating a WFPC2 Yearly Superbias
10.1.1.16.723.txt,Grid Service Specification,Y,
10.1.1.70.6534.txt,HYDRODYNAMIC TESTS ON A FIXED PLATE IN UNIFORM FLOW CONTENTS,N,HYDRODYNAMIC TESTS ON A FIXED PLATE IN UNIFORM FLOW
10.1.1.137.3220.txt,SUMMARY,N,A quality model for quality assurance of road information
10.1.1.61.4211.txt,Feature-preserving Denoising of Time-varying Range Data,Y,
10.1.1.23.1232.txt,Counting Satisfiable k-CNF Formulas,Y,
10.1.1.173.250.txt,Presented to Parliament by the Secretary of State for Trade and Industry By Command of Her Majesty,N,?Meeting the energy challenge: A white paper on energy
10.1.1.5.7877.txt,High-Performance Deduction for Verification: A Case Study in the Theory of Arrays,Y,
10.1.1.151.1532.txt,"Title: Jump Processes in Finance: Modeling, Simulation, Inference and Pricing",N,CURRICULUM VITAE VIKTOR TODOROV
10.1.1.157.9932.txt,A Bilateral Remote User Authentication Scheme that Preserves User Anonymity ?,N,A bilateral remote user authentication scheme that preserves user anonymity
10.1.1.186.2694.txt,1 Soft Noncoherent Equalization of Doubly Selective Channels using Basis Expansion and Tree Search,N,Soft Noncoherent Equalization of Doubly Selective Channels using Basis Expansion and Tree Search
10.1.1.101.509.txt,Robust Model Predictive Control: A,N,Model Predictive Control of Hybrid Systems
10.1.1.32.7821.txt,Convergence Of Probability Measures Revisited,Y,
10.1.1.64.1328.txt,Maximal sub-triangulation in pre-processing phylogenetic data,Y,
10.1.1.170.154.txt,BPF IF Amp Detector,N,‘pst-circ’A PSTricks package for drawing electric circuits v1.5.4
10.1.1.14.8700.txt,Experiments With Geographic Knowledge for Information Extraction,Y,
10.1.1.86.8958.txt,The Features,N,Learner Language Characterization Using Generalized Instance Sets
10.1.1.97.8103.txt,ALGORITHMS FOR HIGH LEVEL PETRI NETS SIMULATION AND RULE-BASED SYSTEMS,Y,
10.1.1.90.3441.txt,Index,N,The Threshold Waving Algorithm for Job Shop Scheduling
10.1.1.7.1868.txt,Evaluation and Analysis of Nuclear Resonance Data,Y,
10.1.1.111.685.txt,Neural Networks for the analysis of Common Mental Disorders Factors.,Y,
10.1.1.160.315.txt,Prepared by:,N,Establishing a Protection Zone Around a Walrus Haulout on Hagemeister Island in Northern Bristol Bay - A Discussion Paper
10.1.1.135.7219.txt,Usability of E-Government Web-Sites for People with Disabilities,Y,
10.1.1.11.7710.txt,Better real-time response for time-share scheduling,Y,
10.1.1.77.3246.txt,Halo Membership Service: A specific membership service for large dynamic client,N,Halo Membership Service: A specific membership service for large dynamic client group
10.1.1.150.2297.txt,Abstract,N,Evaluating Failure Detection in Mobile Ad-Hoc Networks??
10.1.1.120.840.txt,Circuit Techniques for Power-Aware Microprocessors,Y,
10.1.1.218.318.txt,DEVELOPMENT OF AN ELECTRONIC MEDICAL RECORD SYSTEM FOR THE UNIVERSITY OF NORTH CAROLINA WILMINGTON SCHOOL OF NURSING,Y,
10.1.1.29.3113.txt,FOCUS: Searching for Multi-colored Objects in a Diverse Image Database,Y,
10.1.1.89.5914.txt,Generic Entity Resolution in the SERF Project,Y,
10.1.1.89.8313.txt,F.: Supporting spatial awareness in training on a telemanipulator in space,N,Supporting Spatial Awareness in Training on a Telemanipulator in Space
10.1.1.115.3025.txt,SOFT-SOFT INTERACTIONS DESCRIBED BY QUANTUM MECHANICAL PARAMETERS,N,Neurotoxic mechanisms of electrophilic type-2 alkenes: soft soft interactions described by quantum mechanical parameters.
10.1.1.64.429.txt,"Ontology, Society, and Ontotheology",Y,
10.1.1.24.7998.txt,Use of Laser Induced Fluorescence to Detect DNAPL and Fluorophore Mixtures In-Situ,Y,
10.1.1.88.3614.txt,York University Faculty of Science and Engineering The Untethered Scratch Drive Actuator,N,The Untethered Scratch Drive Actuator
10.1.1.219.3533.txt,Medical Research Methodology,N,"The transitive fallacy for randomized trials: If A bests B and B bests C in separate trials, is A better than C?"
10.1.1.42.4760.txt,Optimal Satisfiability for Propositional Calculi and Constraint Satisfaction Problems,Y,
10.1.1.11.8590.txt,An Analysis of Software Interface Issues for SMT Processors,Y,
10.1.1.220.8229.txt,A Speculation-Friendly Binary Search Tree,Y,
10.1.1.61.5060.txt,Semantic Deployment of Services,N,Semantic Deployment of Services in Pervasive Environments
10.1.1.25.3066.txt,Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files,Y,
10.1.1.205.7204.txt,The ROD Crate DAQ software framework of the ATLAS Data Acquisition System,Y,
10.1.1.159.8784.txt,Construction of Quantum Field Theories with Factorizing S-Matrices,Y,
10.1.1.85.266.txt,Additional Key Words a...,N,A Psychophysically Plausible Model for Typicality Ranking of Natural Scenes
10.1.1.221.9258.txt,NON-OPERATOR REFLEXIVE SUBSPACE LATTICE,Y,
10.1.1.100.5368.txt,An Approach for Resource Sharing in,N,An Approach for Resource Sharing in Multilingual NLP
10.1.1.207.406.txt,Contextual Multi-Armed Bandits,Y,
10.1.1.143.3555.txt,Visualizing vortices in simulated air flow around bat wings during flight,N,Visualizing vortices in simulated airflow around bat wings during flight
10.1.1.44.6704.txt,Implementation of a Real-Time Database System,Y,
10.1.1.48.8209.txt,Su(n)=so(n;,N,"A few remarks on integral representaion for zonal spherical functons on the symmetric space SU(N)/SO(N,R)"
10.1.1.199.1718.txt,ACTA POLYTECHNICA CONTENTS Problem Solving Process { Classical versus Evolutionary Approach::::::::::::::::::::::::::::5,N,ACTA POLYTECHNICA
10.1.1.182.8416.txt,Information Model for Packet Sampling Exports,Y,
10.1.1.117.2833.txt,MODELS OF COMMUNITY,N,Models of Community Learning Networks in Canada
10.1.1.39.2913.txt,Quantifiers and Congruence Closure,Y,
10.1.1.205.7171.txt,Complementary reciprocity theorems in electromagnetic theory,Y,
10.1.1.39.5082.txt,The Overlay of Lower Envelopes and its Applications,Y,
10.1.1.11.1620.txt,Studying Macromolecular Motions In A Database,N,Studying macromolecular motions in a database framework: from structure to sequence
10.1.1.45.8826.txt,Internet delay measurements using test traffic: Design note,N,"Internet Delay Measurements Using Test Traffic, Installing And Hosting A Test-Box"
10.1.1.14.7528.txt,Adaptive Saccade Control of a Binocular Head with Dynamic Cell Structures,Y,
10.1.1.163.7958.txt,"Intelligence, U.S. Army Training and Doctrine Command,",N,"The New Great Game:?Chinese Views on Central Asia - Central Asia Regional Security Issues, Economic and Political Challenges"
10.1.1.23.9682.txt,The Enhanced Low Dose Rate sensitivity(ELDRS),Y,
10.1.1.189.4803.txt,The Lévy-Fokker-Planck equation: Φ-entropies and convergence to equilibrium,Y,
10.1.1.151.4913.txt,SASIMI: Sparsity-Aware Simulation of Interconnect-Dominated Circuits with Non-Linear Devices,Y,
10.1.1.101.2992.txt,COHOMOLOGY IN ONE-DIMENSIONAL SUBSTITUTION TILING SPACES,Y,
10.1.1.65.3395.txt,On the empirical distribution of eigenvalues of large dimensional information-plus-noise type matrices,Y,
10.1.1.77.540.txt,Janvier1996{JourneesFrancophonesdesLangagesApplicatifs{JFLA96 unlangagefonctionneldeclaratif Lesgrammairesattribuees:,N,Les grammaires attribuées: un langage fonctionnel déclaratif
10.1.1.187.4848.txt,Cooperative Bug Isolation,N,Adaptive Bug Isolation
10.1.1.95.8173.txt,An Ant Colony Approach for the Steiner Tree Problem,Y,
10.1.1.164.2400.txt,WISE: Automated test generation for worst-case complexity,Y,
10.1.1.77.1605.txt,1. LATTICE OF MANY SORTED EQUIVALENCE RELATIONS IS COMPLETE,N,More on the Lattice of Many Sorted Equivalence Relations
10.1.1.28.7725.txt,Sixty Years of Computation - The Machines of Konrad Zuse,Y,
10.1.1.97.3218.txt,Audio Preview Cues: Support for Exploration of Music Information Spaces,Y,
10.1.1.212.3834.txt,DESCRIPTION,N,"STAT 462/862  FALL 2007, Detail Course Syllabus"
10.1.1.167.9990.txt,Evolving Informational Credentials: The (Mis)Attribution of Believable Facts to Credible Sources,Y,
10.1.1.108.1510.txt,CONSTRAINED MANY-TO-ONE STRING EDITING WITH MEMORY,Y,
10.1.1.95.1234.txt,Sticky CSMA/CA: Implicit Synchronization and Real-time QoS in Mesh Networks,Y,
10.1.1.21.8090.txt,Design of Trust Metrics Based on Dempster-Shafer Theory,Y,
10.1.1.221.6131.txt,ARTICLE pubs.acs.org/IECR Sensitivity-Based Product Portfolio and Design Integration,N,Sensitivity-Based Product Portfolio and Design Integration
10.1.1.92.2756.txt,APPLICATION OF THE METHOD MACHINE LEARNING APPROACHES TO PERSONALITY TYPE CLASSIFICATION,Y,
10.1.1.177.3477.txt,From the Washington Consensus to the Post-Washington Consensus,N,From the Washington Consensus to the Post-Washington Consensus: Retrospect and Prospect
10.1.1.178.1579.txt,A CONVERGENT FINITE VOLUME SCHEME FOR DIFFUSION ON EVOLVING SURFACES,Y,
10.1.1.146.672.txt,Genetics-based machine learning and behavior based robotics: A new synthesis,Y,
10.1.1.151.8491.txt,Understanding Intrinsic Characteristics and System Implications of Flash Memory based Solid State Drives,Y,
